"idx","sex","status","grade"
"23130","여","유료회원","초6학년"
"64283","여","유료회원","초5학년"
"54524","남","유료회원","초2학년"
"17689","여","유료회원","초3학년"
"76839","여","유료회원","초2학년"
"19226","여","유료회원","초3학년"
"75559","남","유료회원","초3학년"
"90738","남","유료회원","초4학년"
"60868","남","유료회원","초1학년"
"93500","여","유료회원","초6학년"
"52938","남","유료회원","초1학년"
"96222","남","유료회원","초3학년"
"11026","여","유료회원","초6학년"
"97757","여","유료회원","초1학년"
"30259","여","유료회원","초3학년"
"59902","남","유료회원","초3학년"
"4141","여","유료회원","초3학년"
"32234","여","유료회원","초5학년"
"39862","남","유료회원","초2학년"
"45100","남","유료회원","초2학년"
"8530","여","유료회원","초3학년"
"12307","남","유료회원","초4학년"
"27137","여","유료회원","초2학년"
"66482","여","유료회원","초6학년"
"52471","남","유료회원","초4학년"
"38317","남","유료회원","초2학년"
"33254","여","유료회원","초3학년"
"12748","여","유료회원","초2학년"
"70356","남","유료회원","초3학년"
"2421","남","유료회원","초6학년"
"41074","여","유료회원","초4학년"
"12977","여","유료회원","초6학년"
"21758","남","유료회원","초2학년"
"37109","여","유료회원","초3학년"
"92316","남","유료회원","0학년"
"44726","여","유료회원","초1학년"
"6227","여","유료회원","초5학년"
"65508","남","유료회원","초5학년"
"49194","여","유료회원","초2학년"
"28585","여","유료회원","초5학년"
"11446","여","유료회원","초5학년"
"54905","남","유료회원","초4학년"
"64056","정보없음","유료회원","초1학년"
"32683","남","유료회원","초6학년"
"30356","남","유료회원","초2학년"
